symbol	hgnc_id	expected	observed	p-value	info
AGAP8	23464.0	0.02232631436990657	0.250198737724715	0.01531835151009476	probability of observing this or more number of mutations is too small
ALPPL2	441.0	0.037417558803486926	0.14707706057356	0.12455172687463793	probability of observing this or more number of mutations is too small
ATP5G1	841.0	0.005683441853228456	0.300952752817675	0.00710581734543417	probability of observing this or more number of mutations is too small
BAI1	943.0	0.10029578211576384	0.838375540983127	0.00265719030618066	probability of observing this or more number of mutations is too small
BAI2	944.0	0.09144987747425037	0.618143193116481	0.013743111855996831	probability of observing this or more number of mutations is too small
BCMO1	13815.0	0.02280027493534248	0.304631995611072	0.023477870722038403	probability of observing this or more number of mutations is too small
CD97	1711.0	0.047005933619907805	0.14807706057356	0.11282990780532606	probability of observing this or more number of mutations is too small
ELTD1	20822.0	0.02267304184939402	0.001	1.0	observed < expected, pvalue set at 1
EMR1	3336.0	0.02975955145988511	0.29448550745637603	0.02288619277534215	probability of observing this or more number of mutations is too small
FAM175A	25829.0	0.019424018074903602	0.001	1.0	observed < expected, pvalue set at 1
GLTSCR1	4332.0	0.07841177873055831	0.838375540983127	0.01167172630158083	probability of observing this or more number of mutations is too small
GPR116	19030.0	0.04231891261485676	0.29415412114712	0.03906943149175172	probability of observing this or more number of mutations is too small
GPR124	17849.0	0.09954540288500707	0.196610825725738	0.1768863462836614	probability of observing this or more number of mutations is too small
GPR125	13839.0	0.0737482856323061	0.328374435710851	0.06098813643565259	probability of observing this or more number of mutations is too small
GPR126	13841.0	0.04667654137158189	0.190654757297201	0.11245577320201325	probability of observing this or more number of mutations is too small
GPR98	17416.0	0.23109374657106785	1.452151830595708	0.0008777498972292203	probability of observing this or more number of mutations is too small
LPHN1	20973.0	0.10140278399538781	0.311273544400891	0.11142452766711691	probability of observing this or more number of mutations is too small
LPHN3	20974.0	0.06926015098796054	0.551822597338217	0.011942691235813716	probability of observing this or more number of mutations is too small
MEF2BNB	37247.0	0.02963115961486732	0.336333915856862	0.019956857901812446	probability of observing this or more number of mutations is too small
MLLT4	7137.0	0.1270414834773265	0.7571578266495401	0.053347860493094416	probability of observing this or more number of mutations is too small
SUPT5H	11469.0	0.06547020265634458	0.27424411233792895	0.12014314659033583	probability of observing this or more number of mutations is too small
SUPT6H	11470.0	0.12077663833964677	0.548625609664018	0.07414369211194528	probability of observing this or more number of mutations is too small
SUSD4	25470.0	0.025053826644966904	0.14707706057356	0.097482405981855	probability of observing this or more number of mutations is too small
SVEP1	15985.0	0.19162922773720983	1.478065353645607	0.005434561342840783	probability of observing this or more number of mutations is too small
SYBU	26011.0	0.03238981666468807	0.433234314811936	0.01598995258244108	probability of observing this or more number of mutations is too small
SYCP2L	21537.0	0.026506319370202064	0.14707706057356	0.11844373394433	probability of observing this or more number of mutations is too small
SYNE2	17084.0	0.2337308561676851	0.14707706057356	1.0	observed < expected, pvalue set at 1
SYNGAP1	11497.0	0.1745784538435003	0.001	1.0	observed < expected, pvalue set at 1
SYNGR1	11498.0	0.018682259273433397	0.001	1.0	observed < expected, pvalue set at 1
SYNM	24466.0	0.0717635713438669	0.001	1.0	observed < expected, pvalue set at 1
SYNPR	16507.0	0.014141545750994128	0.206401767766572	0.031472302284884165	probability of observing this or more number of mutations is too small
